name,position_desc
CSIG17-智慧零售测试工程师（杭州）,"本科以上学历，5年以上开发或测试经验；有外包团队管理、项目交付经验优先；
对微信小程序、大数据应用、电商零售行业产品测试等方面有测试经验优先；
有一定代码编写，自动化或开发经验者优先；
具备良好的团队合作精神，善于协调沟通，具备较强的问题定位和推动解决能力；
具备较强的抗压能力，能面对云计算的机遇与挑战，在较大压力下保持工作激情。"
TEG14-高级系统测试工程师（深圳）,"熟悉Go/python语言，有基本的Go/python语言开发能力；
了解docker的基本使用方法，了解cgroup和Namespace的一些特性，了解docker的相关概念和常见使用方法；
对Kubernetes 生态有一定了解和接触优先；
有一定的测试框架或测试平台开发经验优先；
有CI/CD落地的测试开发经验优先；
具备强大自我驱动力，勇于接受挑战和拥抱变化，保持持续学习技术的热情，乐于团队合作和技术分享。"
41071-音视频及智能语音专项技术测试工程师(深圳),"1. 计算机、通信相关专业本科以上学历；
2、熟悉音视频编解码及测试标准；了解音频、视频通信或语音识别及唤醒底层相关技术；
3. 三年以上系统测试或专项测试经验，了解软件测试理论和方法； 
4、熟练掌握至少一种脚本编程语言者优先，包括但不限于Python、Shell等；可以进行相关的测试脚本和工具开发；
5. 熟悉音视频方面专项分析工具、有丰富的手机端产品测试经验者优先；
6. 熟悉以下全部或部分领域者优先：时延、卡顿、CPU、内存、稳定性、流畅度 、网络流量、音质、画质等等； 
7. 具备良好的沟通能力、抗压能力和团队合作意识； 通过腾讯云从业资格证或同等资格认证的优先录取"
25927-高级专项技术测试工程师（成都）,"本科以上学历，3年及以上软件开发或测试经验； 热爱移动终端游戏和测试行业, 熟悉不同类型游戏的玩法； 熟练使用C/C++，具有Java、Python或PHP开发经验，能够独立完成测试工具开发； 熟练使用LINUX，熟悉TCP/IP、HTTP等网络编程协议； 优秀的执行力和抗压能力，热爱游戏测试，乐于主动反馈和积极思考； 具有安卓、IOS开发经验或机器学习实践经验优先； 具有基于unity、UE4引擎相关的开发经验尤佳，有图形渲染开发经验优先；"
CSIG07-渗透测试工程师（WAF）,"1、1-3年或以上网络安全相关经验，具备不少于三次的渗透或红蓝对抗实际项目经验，并且具备绕过WAF的经历和经验。
2、深入了解各类漏洞原理，能够独立挖掘、分析包括但不限于PHP/JAVA/.NET/Python等大中型应用漏洞，有白盒代码审计的能力；
3、熟练使用且了解渗透工具及工作原理，如 Burpsuite、sqlmap、appscan、AWVS、nmap、MSF，cobalt strike等；
4、熟练使用包括但不限于PHP/Python/Perl/Shell/Go等常用编程语言两门或以上，并经常自己开发小工具解决渗透中的问题；
5、善于沟通，良好的团队合作精神，积极主动推动和跟进业务项目渗透测试发现的安全问题。

具备以下经验和经历者优先：
1.挖掘到的漏洞对安全圈产生重大影响力。
2.在国家/省级红蓝对抗演练中对所在攻击队拿分有突出贡献。"
CSIG15-智能平台产品部-智能硬件测试工程师,"计算机、电子、通信、自动化等相关专业，本科及以上学历，五年以上开发或测试工作经验，有手机、平板等智能硬件产品相关经验优先；?
了解数电、模电基本知识，无线通讯基本理论、熟悉产品原理图、能够对硬件故障进行初步分析；
熟悉消费类硬件产品生命周期，从项目立项到产品量产；
熟悉LTE,WIFI/BT等射频性能指标，天线基本原理；
熟悉常用系统接口和总线，对系统的信号完整性、ESD/EMC等测试有较为深入的认识；
熟悉可靠性测试标准及判断要求，包括环境测试，机械测试，寿命测试等；
熟悉国内认证测试要求要点并按照项目周期制定测试计划；
熟练使用硬件、可靠性测试的各种仪器如电源、CMW500、示波器、音频分析仪、Cam测试设备、数据采集仪；
熟悉生产流程，有手机、平板等智能硬件相关生产测试经验；
有较强的动手能力和沟通能力，有焊接能力。"
28302-START云游戏测试工程师,"1. 大学本科以上学历，三年以上的IT行业测试经验；
2. 熟悉主流的自动化测试框架和方法，熟练使用相关测试工具；
3. 熟悉后台服务架构，熟悉HTTP/TCP/UDP等网络协议；了解JAVA/C++等编程语言；
4. 会熟练使用python或其他脚本语言；
5. 了解研发整体流程，具有较强的风险和质量把控能力；
6. 具备较强的沟通推动能力、项目管理与风险把控能力。"
31498-王者荣耀海外版测试工程师,"负责王者荣耀海外版游戏测试工作，包括功能、自动化、性能，兼容性等维度，保障项目顺利发布；
能够根据项目中遇到的问题进行技术研究，工具开发都手段针对性的解决问题，并提升测试效率和输出质量；
能够良好的与项目各渠道进行良好沟通，推动问题落实与解决。"
20503-优图AI后台测试工程师（深圳）,"1、计算机或相关专业，熟悉HTTP协议和互联网应用的工作原理，4年以上工作经验；
2、有良好的编程能力（熟悉Python /Shell等脚本编程语言，熟悉C++高级编程语言）； 
3、具备扎实的后台测试经验，能够通过接口测试/性能分析等手段，对后台服务进行高效分析，快速发现并准确定位问题，保证上线质量；
4、有性能测试、协议测试或白盒测试经验优先； 
5、对技术有浓厚兴趣，乐于构建工具或对工具做改造。
6、具有强烈的责任感，良好的沟通和表达能力，优秀的抗压能力；"
41316-Game Service测试工程师,"具有2到5年的大规模后端系统测试经验
能够编写测试方案和用例，并进行全面测试覆盖；
熟悉主流的自动化测试框架和方法，熟练使用相关主流测试工具；
熟悉Go或C/C++语言，并能进行白盒测试以及测试工具开发优先；
熟悉HTTP/TCP/UDP等网络协议
具有功能测试和压力测试的经验和能力；
具备游戏行业的知识或工作经验者优先；"
