job_name,salary,address,company_name,position_desc
JAVA研发工程师,面议,广东省-广州,世纪龙信息网络有限责任公司-世纪龙信息网络有限责任公司,
Java大数据开发工程师,15000-25000,广东省-广州,软通动力信息技术有限公司-软通动力信息技术有限公司,
Java开发工程师（苏州）,面议,江苏省-苏州,中移（苏州）软件技术有限公司-中移（苏州）软件技术有限公司,
Java开发工程师,面议,上海 北京,北京科技大学线上招聘会-北京思特奇信息技术股份有限公司,"1、计算机与通信工程学院： 计算机科学与技术/软件工程/信息与通信工程；,2、技术类 Java开发工程师 1、参与项目功能实现及模块开发；,3、有机会参与改进系统的稳定性及易用性，提升用户体验；,4、有机会参与前瞻技术的跟踪调研和产品创新；,5、有机会参与Java核心产品功能和架构开发；,学历：本科及以上,工作地：北京，上海，广州，山东，山西，吉林，黑龙江，安徽，湖北，四川，重庆，新疆,人数：50"
java开发工程师,面议,北京,中国电子科技网络信息安全有限公司-中电科网络空间安全研究院有限公司,
高级JAVA开发工程师,面议,天津,天津联通-产业互联网研究院-系统集成中心（RPO）-天津联通-产业互联网研究院-系统集成中心,
Java,面议,北京,北京科技大学线上招聘会-北京启明星辰信息安全技术有限公司,"需求专业：计算机/软件工程/信息安全等,学历：本科及以上          工作地：北京           人数：6"
JAVA开发工程师,面议,天津,天津联通-产业互联网研究院-系统集成中心（RPO）-天津联通-产业互联网研究院-系统集成中心,"1.负责项目及产品需求分析、系统设计、功能开发、数据库设计； ,2.配合项目经理完成复杂项目的拆解，并独立完成相关模块的开发工作； 3根据项目计划，按时完成编码，并确保代码质量； ,4.负责所开发项目的联调测试、部署上线及日常维护工作，解决软件研发及维护过程中存在的各种问题，优化代码结构和系统性能； ,5.负责项目及产品研发过程中各种技术文档编写； ,6.事业部安排的其他工作。,1.全日制大学本科及以上学历，计算机、软件工程相关专业，至少3年以上JAVA软件开发经验； ,2.精通Java开发，Java语言基础扎实，对Java内存管理、垃圾回收、NIO及集合有深入理解，熟悉多线程技术； ,3.熟练掌握Spring Boot、Spring Cloud等Java主流技术框架，能快速完成SSH/SSM/SSI框架搭建及开发； ,4.熟悉HTML5、Jsp、Css、Javascript、JQuery、Ajax开发； ,5.熟悉Oracle、MySQL、Sqlserver等关系数据库技术； ,6.熟悉Memcache、Redis、ElasticSearch、RabbitMQ、Kafka、MongoDB、Hbase、Nginx、Tomcat等技术，具有大型分布式系统架构设计及高并发、高访问量项目开发经验者优先； ,7.熟悉Hadoop、HDFS、Mapreduce、Flink、Spark、Storm、Hive、 Hbase、Flume、Kylin等相关技术的基础架构，具有海量数据处理经验者优先； ,8.在实时计算、流计算、多维度olap分析方面有实践经验者优先； ,9.具备较强的理解能力和沟通能力，能独立解决遇到技术难题，具有良好的团队合作精神。"
JAVA开发工程师,面议,四川省-绵阳,中华英才网云招聘-四川长虹电子控股集团有限公司软件与服务中心,
Java开发工程师-广州,面议,广东省-广州,北京国双科技有限公司-技术类,
Java开发工程师-上海,面议,上海,北京国双科技有限公司-技术类,
JAVA开发工程师,面议,四川省 四川省-成都,中国电子科技网络信息安全有限公司-中国电子科技集团公司第三十研究所,"1.负责应用软件模块的设计、需求分析、开发、技术文档编写； ,2.负责完成功能模块的单元测试； ,3.负责与软件外包团队的需求对接、进度检查、项目管理。,1.硕士及以上学历，计算机、软件等相关专业； ,2.熟练运用Java开发语言，有spring boot、spring cloud、SSM等框架运用经验； ,3.具备Css、javaScript等前端开发、Go语言和node.js的开发能力； ,4.熟悉TCP/IP通信协议、P2P协议、分布式存储系统的基本原理； ,5.具有较强的调试和解决问题的能力； ,6.具有良好的沟通能力和团队合作精神。"
Java开发（天翼）,面议,北京,英才RPO社招-天翼电子商务有限公司,
JAVA开发工程师（武汉）,面议,湖北省-武汉,北京神州绿盟信息安全科技股份有限公司-武汉研发,
软件开发工程师 （Java/C/Hadoop),面议,湖北省-武汉,烽火科技集团有限公司-武汉烽火众智数字技术有限责任公司,
JAVA开发工程师（武汉）,面议,湖北省-武汉,广东亿迅科技有限公司-广东亿迅科技有限公司,
JAVA开发工程师(广州),面议,广东省-广州,广东亿迅科技有限公司-广东亿迅科技有限公司,
软件开发工程师（Java/C++）,面议,广东省-广州 广东省-深圳,烽火科技集团有限公司-武汉烽火众智数字技术有限责任公司,
Java开发工程师,面议,北京,中国民航信息网络股份有限公司（脉聘）-中国民航信息网络股份有限公司（脉聘）,"职位描述：,1、扎实的数据结构和算法基础，熟悉Java编程语言； ,2、熟悉操作系统基本原理，熟悉Unix/Linux基本操作； ,3、有优秀的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分； 4、具备较强的学习能力和沟通能力，具备良好的团队合作精神。,任职要求 ：,1、2020届本科及以上学历，计算机及理工科相关专业； ,2、有扎实的计算机知识基础，较好的掌握了java基础、软件工程、数据库等课程知识； ,3、掌握java、web开发，linux等基础技术；,4、有相关实习经验优先。"
JAVA研发工程师,面议,贵州省-贵阳 四川省-成都,中电科大数据研究院有限公司-中电科大数据研究院有限公司,1、  负责所在业务方向相关产品的后端开发及系统架构优化，独立完成建模设计、接口设计，承担相关系统程序的性能提升、代码优化。2、  独立完成模块功能开发、单元测试、Bug修复、项目上线，并按规范书写思路清晰的概要设计和详细设计。3、  参与团队的技术文档和开发规范的制订，并对开发过程进行周期性总结，持续地优化开发流程。 4、 参与项目或产品的需求分析讨论及技术设计。
Java开发工程师- 成都,面议,四川省-成都,北京国双科技有限公司-技术类,
JAVA工程师,面议,广东省-广州,广州小迈网络科技有限公司-广州小迈网络科技有限公司,
JAVA开发工程师,面议,北京,英才海外频道-金风科技,
